A,B,CW,DQ,DR,DR51,DR52,DR53,TOTfreq
A29,B56,CW1,DQ8,DR4,NULL,NULL,DR53,6.01993e-05
A29,B57,CW6,DQ5,DR1,NULL,NULL,NULL,5.0166e-05
A29,B57,CW6,DQ8,DR4,NULL,NULL,DR53,6.01993e-05
A29,B57,CW6,DQ9,DR7,NULL,NULL,DR53,0.000100332
A29,B57,CW7,DQ9,DR7,NULL,NULL,DR53,6.01993e-05
A29,B58,CW7,DQ4,DR8,NULL,NULL,DR53,0.00025083
A29,B58,CW7,DQ7,DR11,NULL,DR52,NULL,0.000110365
A29,B58,CW7,DQ8,DR4,NULL,NULL,DR53,7.02325e-05
A29,B63,CW14,DQ7,DR4,NULL,NULL,DR53,6.01993e-05
A29,B65,CW8,DQ2,DR7,NULL,NULL,DR53,0.00031103
A29,B65,CW8,DQ5,DR1,NULL,NULL,NULL,6.01993e-05
A29,B65,CW8,DQ6,DR13,NULL,DR52,NULL,0.000120399
A29,B65,CW8,DQ6,DR15,DR51,NULL,NULL,6.01993e-05
A29,B65,CW8,DQ7,DR12,NULL,DR52,NULL,6.01993e-05
A29,B7,CW15,DQ2,DR17,NULL,DR52,NULL,0.000130432
A29,B7,CW15,DQ2,DR7,NULL,NULL,DR53,6.01993e-05
A29,B7,CW15,DQ5,DR10,NULL,NULL,NULL,0.000501661
A29,B7,CW15,DQ6,DR13,NULL,DR52,NULL,0.000190631
A29,B7,CW15,DQ6,DR17,NULL,DR52,NULL,6.01993e-05
A29,B7,CW15,DQ7,DR11,NULL,DR52,NULL,6.01993e-05
A29,B7,CW15,DQ7,DR13,NULL,DR52,NULL,6.01993e-05
A29,B7,CW7,DQ6,DR13,NULL,DR52,NULL,0.000130432
A29,B7,CW7,DQ6,DR15,DR51,NULL,NULL,8.02657e-05
A29,B7,CW7,DQ7,DR11,NULL,DR52,NULL,7.02325e-05
A29,B7,CW7,DQ8,DR4,NULL,NULL,DR53,6.01993e-05
A29,B8,CW12,DQ7,DR11,NULL,DR52,NULL,6.01993e-05
A29,B8,CW4,DQ2,DR17,NULL,DR52,NULL,6.01993e-05
